name,version,dataset,fmt,module_type,network_architecture,author
tf2-preview-nnlm-id-dim128@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_050_224-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
bert_uncased_L-24_H-1024_A-16@@google,1,Wikipedia and BooksCorpus,hub,text-embedding,Transformer,google
imagenet-mobilenet_v2_035_192-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_192-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_192-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_050_224-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_050_224-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v2_100_96-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_100_96-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_100_96-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_100_96-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
esrgan-tf2@@captain-pool,1,DIV2K,saved_model_2,image-super-resolution,GAN,captain-pool
imagenet-nasnet_mobile-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,NASNet-A (mobile),google
llr-pretrain-adv-linear@@deepmind,1,birds-or-bicycles,hub,image-classifier,ResNet-152,deepmind
imagenet-nasnet_mobile-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,NASNet-A (mobile),google
imagenet-nasnet_mobile-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,NASNet-A (mobile),google
universal-sentence-encoder-qa@@google,1,None,hub,text-embedding,Transformer,google
universal-sentence-encoder-qa@@google,2,None,saved_model_2,text-embedding,Transformer,google
imagenet-resnet_v1_152-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,ResNet V1 152,google
imagenet-resnet_v1_152-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,ResNet V1 152,google
imagenet-mobilenet_v2_050_160-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_050_160-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_050_160-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_050_160-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-resnet_v1_152-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,ResNet V1 152,google
i3d-kinetics-400@@deepmind,1,Kinetics-400,hub,video-classification,I3D,deepmind
imagenet-mobilenet_v1_075_128-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
bert_en_wwm_uncased_L-24_H-1024_A-16@@tensorflow,1,Wikipedia and BooksCorpus,saved_model_2,text-embedding,Transformer,tensorflow
imagenet-mobilenet_v1_075_128-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
tf2-preview-mobilenet_v2-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
tf2-preview-mobilenet_v2-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
tf2-preview-mobilenet_v2-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
nnlm-de-dim128-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-id-dim128-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-id-dim128-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_075_192-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_075_192-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_075_192-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_025_192-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
nnlm-de-dim128-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_025_192-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-inception_v1-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception V1,google
spiral-default-wgangp-celebahq64-gen-19steps-agent6@@deepmind,1,CelebA HQ,hub,image-rnn-agent,Other,deepmind
imagenet-inception_v1-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception V1,google
imagenet-mobilenet_v1_025_128-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-inception_v1-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,Inception V1,google
imagenet-mobilenet_v1_025_128-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
tf2-preview-inception_v3-classification@@google,2,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,Inception V3,google
tf2-preview-inception_v3-classification@@google,3,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,Inception V3,google
tf2-preview-inception_v3-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,Inception V3,google
imagenet-mobilenet_v2_035_96-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_96-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_96-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
nnlm-zh-dim50-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-zh-dim50-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
nnlm-es-dim50-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-es-dim50-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_050_128-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_050_128-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v2_140_224-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_140_224-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_140_224-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
efficientnet-lite2-feature-vector@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B2,tensorflow
efficientnet-b2-feature-vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B2,google
imagenet-mobilenet_v2_140_224-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_075_224-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_050_128-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_075_224-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_075_224-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_025_160-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
tf2-preview-nnlm-ja-dim128@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
compare_gan-model_5_celebahq128_resnet19@@google,1,CelebA HQ,hub,image-generator,ResNet19,google
Wiki-words-500-with-normalization@@google,1,Wikipedia,hub,text-embedding,word2vec skip-gram,google
Wiki-words-500-with-normalization@@google,2,Wikipedia,saved_model_2,text-embedding,word2vec skip-gram,google
imagenet-nasnet_large-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,NASNet-A (large),google
semi-rotation-10@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet50-v2,vtab
imagenet-nasnet_large-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,NASNet-A (large),google
nnlm-zh-dim50@@google,1,Google News,hub,text-embedding,NNLM,google
efficientnet-b0-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B0,google
Wiki-words-250-with-normalization@@google,1,Wikipedia,hub,text-embedding,word2vec skip-gram,google
imagenet-mobilenet_v1_050_192-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v2_075_96-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_96-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_96-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_075_224-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
spiral-default-wgangp-celebahq64-gen-19steps-agent3@@deepmind,1,CelebA HQ,hub,image-rnn-agent,Other,deepmind
imagenet-mobilenet_v1_075_224-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_100_128-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
tweening_conv3d_kth@@google,1,KTH,hub,video-generator,Other,google
imagenet-mobilenet_v1_100_128-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_100_128-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
nnlm-ko-dim50@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-en-dim128@@google,1,Google News,hub,text-embedding,NNLM,google
sup-exemplar-100@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet50-v2,vtab
universal-sentence-encoder-xling-en-de@@google,1,None,hub,text-embedding,Transformer,google
imagenet-mobilenet_v2_035_224-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_224-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_224-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
tf2-preview-nnlm-ko-dim128-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
Wiki-words-250@@google,1,Wikipedia,hub,text-embedding,word2vec skip-gram,google
Wiki-words-250@@google,2,Wikipedia,saved_model_2,text-embedding,word2vec skip-gram,google
imagenet-mobilenet_v2_035_224-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
unet-industrial-class_2@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
mil-nce-s3d@@deepmind,1,None,hub,video-text,S3D,deepmind
efficientnet-b6-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B6,google
tf2-preview-nnlm-es-dim50@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
compare_gan-model_1_celebahq128_resnet19@@google,1,CelebA HQ,hub,image-generator,ResNet19,google
nnlm-en-dim128@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
mil-nce-i3d@@deepmind,1,None,hub,video-text,I3D,deepmind
nnlm-ko-dim50@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
tf2-preview-nnlm-zh-dim50@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v2_075_96-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
jigsaw@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet50-v2,vtab
resnet_50-classification@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,ResNet V1 50,tensorflow
imagenet-mobilenet_v1_050_192-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
Wiki-words-250-with-normalization@@google,2,Wikipedia,saved_model_2,text-embedding,word2vec skip-gram,google
nnlm-zh-dim50@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-nasnet_large-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,NASNet-A (large),google
unet-industrial-class_3@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
wae-gan@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,WAE,vtab
tf2-preview-nnlm-ja-dim50@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_025_160-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
bert_multi_cased_L-12_H-768_A-12@@google,1,Wikipedia and BooksCorpus,hub,text-embedding,Transformer,google
imagenet-mobilenet_v2_035_96-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
tf2-preview-inception_v3-classification@@google,1,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,Inception V3,google
imagenet-mobilenet_v1_025_128-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
tf2-preview-mobilenet_v2-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_075_128-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
universal-sentence-encoder-qa@@google,3,None,saved_model_2,text-embedding,Transformer,google
compare_gan-s3gan_10_128x128@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BiGAN,google
imagenet-mobilenet_v1_075_224-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_075_224-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_050_224-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
unet-industrial-class_5@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
imagenet-amoebanet_a_n18_f448-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,AmoebaNet-A (N=18| F=448),google
unet-industrial-class_4@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
imagenet-mobilenet_v2_035_192-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_050_224-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
efficientnet-lite0-feature-vector@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B0,tensorflow
efficientnet-b6-feature-vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B6,google
tfgan-eval-mnist-logits@@tensorflow,1,None,hub,image-classifier,None,tensorflow
imagenet-resnet_v1_50-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,ResNet V1 50,google
tf2-preview-nnlm-en-dim128-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
remote_sensing-so2sat-ms-resnet50@@google,1,Multiple,hub,image-feature-vector,ResNet V2 50,google
universal-sentence-encoder-large@@google,5,None,saved_model_2,text-embedding,Transformer,google
efficientnet-lite0-classification@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B0,tensorflow
imagenet-mobilenet_v1_100_160-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
efficientnet-b2-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B2,google
imagenet-mobilenet_v1_100_224-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
bert_zh_L-12_H-768_A-12@@tensorflow,1,Wikipedia,saved_model_2,text-embedding,Transformer,tensorflow
image_augmentation-flipx_crop_rotate_color@@google,1,None,hub,image-augmentation,None,google
nnlm-zh-dim128@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
nnlm-ko-dim128@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
nnlm-es-dim128-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v2_050_192-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_075_128-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v2_100_128-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_025_224-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_025_128-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v2_050_96-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
biggan-256@@deepmind,2,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN,deepmind
planet-vision-classifier-planet_v2@@google,1,None,hub,image-classification,None,google
spiral-default-wgangp-celebahq64-gen-19steps-agent7@@deepmind,1,CelebA HQ,hub,image-rnn-agent,Other,deepmind
random-nnlm-en-dim128@@google,1,None,hub,text-embedding,NNLM,google
sup-rotation-100@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet50-v2,vtab
albert_lite_base@@tensorflow,1,SQuAD,saved_model_2,text-embedding,Transformer,tensorflow
nnlm-id-dim50@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v2_075_160-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
nnlm-zh-dim128-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_100_192-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v2_100_160-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
tf2-preview-nnlm-de-dim50-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
vae@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,VAE,vtab
biggan-deep-256@@deepmind,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN-deep,deepmind
imagenet-mobilenet_v1_025_192-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
compare_gan-s3gan_20_128x128@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BiGAN,google
llr-pretrain-adv-latents@@deepmind,1,birds-or-bicycles,hub,image-classifier,ResNet-152,deepmind
vision-embedder-inaturalist_V2@@inaturalist,1,None,hub,image-feature-vector,None,inaturalist
nonsemantic-speech-benchmark-trill-distilled@@google,1,AudioSet,saved_model_2,audio-embedding,MobileNet,google
imagenet-mobilenet_v1_025_128-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_025_224-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
efficientnet-lite3-feature-vector@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B3,tensorflow
spiral-default-wgangp-celebahq64-gen-19steps-agent1@@deepmind,1,CelebA HQ,hub,image-rnn-agent,Other,deepmind
imagenet-inception_v2-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,Inception V2,google
imagenet-mobilenet_v1_050_128-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
bert_en_cased_L-12_H-768_A-12@@tensorflow,1,Wikipedia and BooksCorpus,saved_model_2,text-embedding,Transformer,tensorflow
imagenet-mobilenet_v1_100_224-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
nnlm-en-dim50@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
remote_sensing-so2sat-resnet50@@google,1,Multiple,hub,image-feature-vector,ResNet V2 50,google
nnlm-ko-dim50-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
tf2-preview-nnlm-id-dim50@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-amoebanet_a_n18_f448-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,AmoebaNet-A (N=18| F=448),google
imagenet-nasnet_mobile-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,NASNet-A (mobile),google
compare_gan-model_10_lsun_bedroom_resnet19@@google,1,LSUN Bedroom,hub,image-generator,ResNet19,google
imagenet-resnet_v2_101-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,ResNet V2 101,google
unet-industrial-class_6@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
efficientnet-b3-feature-vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B3,google
imagenet-mobilenet_v1_075_160-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
albert_en_large@@tensorflow,1,Wikipedia and BooksCorpus,saved_model_2,text-embedding,Transformer,tensorflow
magenta-arbitrary-image-stylization-v1-256@@google,2,Multiple,hub,image-style-transfer,Other,google
remote_sensing-bigearthnet-resnet50@@google,1,Multiple,hub,image-feature-vector,ResNet V2 50,google
unet-industrial-class_1@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
imagenet-mobilenet_v1_025_160-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_100_160-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
nnlm-de-dim128@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
nq@@nascarr,1,Natural Questions,saved_model_2,text-question-answering,Transformer,nascarr
imagenet-mobilenet_v2_035_160-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
svampeatlas-vision-embedder-fungi_V1@@google,1,None,hub,image-feature-vector,None,google
tf2-preview-nnlm-id-dim128-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
videoflow-encoder@@google,1,BAIR Robot Pushing Dataset,hub,video-generation,VideoFlow,google
tf2-preview-nnlm-de-dim50@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
albert_en_base@@tensorflow,1,Wikipedia and BooksCorpus,saved_model_2,text-embedding,Transformer,tensorflow
random-nnlm-en-dim50@@google,1,None,hub,text-embedding,NNLM,google
efficientnet-b3-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B3,google
imagenet-mobilenet_v2_050_128-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
nnlm-ko-dim128-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v2_050_224-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
efficientnet-lite1-feature-vector@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B1,tensorflow
albert_en_xlarge@@tensorflow,1,Wikipedia and BooksCorpus,saved_model_2,text-embedding,Transformer,tensorflow
albert_xlarge@@google,1,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
progan-128@@google,1,CelebA,hub,image-generator,Progressive GAN,google
nnlm-es-dim50@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
bert-uncased-tf2-qa@@see--,1,Natural Questions,saved_model_2,text-question-answering,transformer,see--
tf2-preview-nnlm-de-dim128-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_025_160-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v2_035_224-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
tf2-preview-nnlm-ko-dim128@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
spiral-default-wgangp-celebahq64-gen-19steps-agent4@@deepmind,1,CelebA HQ,hub,image-rnn-agent,Other,deepmind
imagenet-resnet_v2_50-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,ResNet V2 50,google
tf2-preview-nnlm-ja-dim50-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
compare_gan-model_13_cifar10_resnet_cifar@@google,1,CIFAR-10,hub,image-generator,ResNet CIFAR,google
nnlm-id-dim128@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-pnasnet_large-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,PNASNet-5 (large),google
tf2-preview-nnlm-id-dim50-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_075_128-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
